Ic_max,gr_C,gr_P,,gr_mod,fP:C,food C:P,Ap,Ac,Rc,Qp:Qc,IP,,P-rel_Plimt,P-rel_Climt,P-rel,Measured P excretion,Lake,Year
.,.,.,,,.,,.,.,.,.,,,.,.,,0.00096,L222,2012
.,.,.,,,.,,.,.,.,.,,,.,.,,0.0008496,L222,2014
.,.,.,,,.,,.,.,.,.,,,.,.,,0.0032256,L222,2015
.,.,.,,,.,,.,.,.,.,,,.,.,,0.0049776,L239,2012
.,.,.,,,.,,.,.,.,.,,,.,.,,0.0032208,L239,2014
.,.,.,,,.,,.,.,.,.,,,.,.,,0.0041088,L239,2015
0.01,0,0.008266667,1,0,0.025833333,100,0.8,0.5,0.005,0.025,0.000258333,,5.16667E-05,0.000258333,0.000258333,.,.,.
0.025,0.0075,0.020666667,1,0.0075,0.025833333,100,0.8,0.5,0.005,0.025,0.000645833,,0.000129167,0.000458333,0.000458333,.,.,.
0.05,0.02,0.041333333,1,0.02,0.025833333,100,0.8,0.5,0.005,0.025,0.001291667,,0.000258333,0.000791667,0.000791667,.,.,.
0.1,0.045,0.082666667,1,0.045,0.025833333,100,0.8,0.5,0.005,0.025,0.002583333,,0.000516667,0.001458333,0.001458333,.,.,.
0.15,0.07,0.124,1,0.07,0.025833333,100,0.8,0.5,0.005,0.025,0.003875,,0.000775,0.002125,0.002125,.,.,.
0.2,0.095,0.165333333,1,0.095,0.025833333,100,0.8,0.5,0.005,0.025,0.005166667,,0.001033333,0.002791667,0.002791667,.,.,.
0.01,0,0.004133333,1,0,0.012916667,200,0.8,0.5,0.005,0.025,0.000129167,,2.58333E-05,0.000129167,0.000129167,.,.,.
0.025,0.0075,0.010333333,1,0.0075,0.012916667,200,0.8,0.5,0.005,0.025,0.000322917,,6.45833E-05,0.000135417,0.000135417,.,.,.
0.05,0.02,0.020666667,1,0.02,0.012916667,200,0.8,0.5,0.005,0.025,0.000645833,,0.000129167,0.000145833,0.000145833,.,.,.
0.1,0.045,0.041333333,0,0.041333333,0.012916667,200,0.8,0.5,0.005,0.025,0.001291667,,0.000258333,0.000166667,0.000258333,.,.,.
0.15,0.07,0.062,0,0.062,0.012916667,200,0.8,0.5,0.005,0.025,0.0019375,,0.0003875,0.0001875,0.0003875,.,.,.
0.2,0.095,0.082666667,0,0.082666667,0.012916667,200,0.8,0.5,0.005,0.025,0.002583333,,0.000516667,0.000208333,0.000516667,.,.,.
