Ingestion rate,Food C:P,Modelled P excretion rate,Measured P excretion,Lake,Year
.,.,.,0.00076896,L222,2012
.,.,.,0.0007272,L222,2014
.,.,.,0.00276432,L222,2015
.,.,.,0.00426672,L239,2012
.,.,.,0.00276192,L239,2014
.,.,.,0.00352224,L239,2015
0.1,min,0.000723333,.,.,.
0.1,max,0.000361667,.,.,.
0.25,min,0.001808333,.,.,.
0.25,max,0.000904167,.,.,.
0.5,min,0.003616667,.,.,.
0.5,max,0.001808333,.,.,.
0.75,min,0.005425,.,.,.
0.75,max,0.0027125,.,.,.
1,min,0.007233333,.,.,.
1,max,0.003616667,.,.,.
1.25,min,0.009041667,.,.,.
1.25,max,0.004520833,.,.,.
