,,,Fi 1,Fi 2,Volume Filtered,Volume Ethanol,,,,,Chla ug/L,FI
221,Hypo,August 2nd-4th,34.109,31.32,100,5,9.423976593,8.656045416,9.040011005,,0,5.84777E-05
221,Epi,August 2nd-4th,26.16,23.925,200,5,3.617638184,3.309942562,3.463790373,,0.400000006,0.040985368
222,Epi,August 2nd-4th,20.272,21.144,200,5,2.807028868,2.927078345,2.867053606,,1.840000033,0.4
222,Hypo,August 2nd-4th,15.833,17.005,150,5,2.927873916,3.143008454,3.035441185,,6.409999847,1.413357019
240,Epi,August 2nd-4th,19.855,25.125,450,5,1.222053283,1.54451034,1.383281811,,10,1.953607321
224,Epi,August 2nd-4th,13.017,14.231,300,5,1.205481814,1.316903882,1.261192848,,25,4.115009308
114,Epi,August 2nd-4th,14.95,15.396,80,5,5.185853935,5.339357568,5.262605751,,126,22.54772568
227,Epi,August 2nd-4th,46.52,43.71,80,5,16.0515707,15.08442898,15.56799984,,500,89.66796875
302,Epi,August 2nd-4th,19.963,23.155,300,5,1.842992266,2.135957046,1.989474656,,1000,182
239,Epi,August 2nd-4th,21.533,20.57,450,5,1.324725568,1.2658022,1.295263884,,,
302,Epi,August 23-25th,24.895,20.15,400,5,1.72174192,1.395116477,1.558429198,,slope,5.506856772
239,Epi,August 23-25th,0.608,0.423,200,5,0.099858078,0.074388866,0.087123472,,intercept,0.646154212
227,Epi,August 23-25th,84.688,103.86,100,5,23.35054203,28.62941493,25.98997848,,,
114,Epi,August 23-25th,26.626,24.651,200,5,3.681793066,3.409892013,3.545842539,,,
221,D1,August 23-25th,24.314,,200,5,3.363496744,,3.363496744,,,
221,D2,August 23-25th,30.266,,200,5,4.182917032,,4.182917032,,,
221,D3,August 23-25th,34.724,,200,5,4.796656219,,4.796656219,,,
221,CB EPI,August 23-25th,32.179,,200,5,4.446282457,,4.446282457,,,
221,CB EPI,August 23-25th,36.504,,200,5,5.041711346,,5.041711346,,,
221,OUT,August 23-25th,36.119,,200,5,4.988707849,,4.988707849,,,
222,D1,August 23-25th,25.521,,200,5,3.529666148,,3.529666148,,,
222,D2,August 23-25th,26.532,,200,5,3.668851952,,3.668851952,,,
222,D3,August 23-25th,23.628,,200,5,3.269054151,,3.269054151,,,
222,OUT,August 23-25th,22.334,,200,5,3.090907334,,3.090907334,,,
222,CB EPI,August 23-25th,23.88,,200,5,3.303747348,,3.303747348,,,
222,CB EPI,August 23-25th,23.05,,200,5,3.18948007,,3.18948007,,,
222,CB HYPO,August 23-25th,26.917,26.792,150,5,4.962473932,4.939528695,4.951001314,,,
240,Epi,August 23-25th,23.387,24.309,400,5,1.617937669,1.681404194,1.649670932,,,
239,Epi,August 23-25th,23.808,23.654,400,5,1.646917503,1.636316804,1.641617153,,,
224,Epi,August 23-25th,14.859,14.628,400,5,1.030906737,1.015005688,1.022956213,,,
222,Epi,Feb-13,12.572,12.983,250,5,1.397567151,1.442833514,1.420200332,,,
221,Epi,Feb-13,56.46,51.588,250,5,6.231265752,5.694677628,5.96297169,,,
227,Epi,Feb 203,69.965,91.315,200,5,9.648334707,12.58761951,11.11797711,,,
302,Epi,Feb-13,9.141,8.194,250,5,1.019686639,0.915386772,0.967536706,,,
240,Epi,Feb-13,53.912,57.986,200,5,7.438295413,7.999168775,7.718732094,,,
114,Epi,Feb-13,16.001,12.835,200,5,2.219034236,1.783166522,2.001100379,,,
239,Epi,Feb-13,12.695,12.888,200,5,1.763892523,1.790463107,1.777177815,,,
224,Epi,Feb-13,41.232,41.247,250,5,4.554097453,4.55574951,4.554923482,,,
221,Hypo,Aug 22nd,160.603,186.774,100,5,44.25319362,51.45919105,47.85619234,,,
